locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBDGGIMO_00001	gene	1020	gapA			
CBDGGIMO_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
CBDGGIMO_00002	gene	1800				
CBDGGIMO_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
CBDGGIMO_00003	gene	786				
CBDGGIMO_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
CBDGGIMO_00004	gene	465	ybeY			
CBDGGIMO_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
CBDGGIMO_00005	gene	813	fdhD			
CBDGGIMO_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
CBDGGIMO_00006	gene	612	fdnG_1			
CBDGGIMO_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
CBDGGIMO_00007	gene	2427	fdnG_2			
CBDGGIMO_00007	CDS	2427	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
CBDGGIMO_00008	gene	939	fdoH			
CBDGGIMO_00008	CDS	939	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
CBDGGIMO_00009	gene	717	fdnI			
CBDGGIMO_00009	CDS	717	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
CBDGGIMO_00010	gene	909	fdhE			
CBDGGIMO_00010	CDS	909	fdhE		COG3058	Protein FdhE
CBDGGIMO_00011	gene	441	rimI			
CBDGGIMO_00011	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
CBDGGIMO_00012	gene	405	holD			
CBDGGIMO_00012	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
CBDGGIMO_00013	gene	993	rsmC			
CBDGGIMO_00013	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
CBDGGIMO_00014	gene	909	era			
CBDGGIMO_00014	CDS	909	era		COG1159	GTPase Era
CBDGGIMO_00015	gene	684	rnc			
CBDGGIMO_00015	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
CBDGGIMO_00016	gene	1050	lepB			
CBDGGIMO_00016	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
CBDGGIMO_00017	gene	1797	lepA			
CBDGGIMO_00017	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
CBDGGIMO_00018	gene	384	grcA			
