locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBJEOBOH_00001	gene	2100	fusA			
GBJEOBOH_00001	CDS	2100	fusA		COG0480	Elongation factor G
GBJEOBOH_00002	gene	1218	tuf_1			
GBJEOBOH_00002	CDS	1218	tuf_1		COG0050	Elongation factor Tu
GBJEOBOH_00003	gene	315	rpsJ			
GBJEOBOH_00003	CDS	315	rpsJ		COG0051	30S ribosomal protein S10
GBJEOBOH_00004	gene	726	rplC			
GBJEOBOH_00004	CDS	726	rplC		COG0087	50S ribosomal protein L3
GBJEOBOH_00005	gene	600	rplD			
GBJEOBOH_00005	CDS	600	rplD		COG0088	50S ribosomal protein L4
GBJEOBOH_00006	gene	312	rplW			
GBJEOBOH_00006	CDS	312	rplW		COG0089	50S ribosomal protein L23
GBJEOBOH_00007	gene	915	rplB			
GBJEOBOH_00007	CDS	915	rplB		COG0090	50S ribosomal protein L2
GBJEOBOH_00008	gene	660				
GBJEOBOH_00008	CDS	660				hypothetical protein
GBJEOBOH_00009	gene	297	rplV			
GBJEOBOH_00009	CDS	297	rplV		COG0091	50S ribosomal protein L22
GBJEOBOH_00010	gene	639	rpsC			
GBJEOBOH_00010	CDS	639	rpsC		COG0092	30S ribosomal protein S3
GBJEOBOH_00011	gene	429	rplP			
GBJEOBOH_00011	CDS	429	rplP		COG0197	50S ribosomal protein L16
GBJEOBOH_00012	gene	222				
GBJEOBOH_00012	CDS	222				hypothetical protein
GBJEOBOH_00013	gene	324				
GBJEOBOH_00013	CDS	324				hypothetical protein
GBJEOBOH_00014	gene	660	aroD			
GBJEOBOH_00014	CDS	660	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
GBJEOBOH_00015	gene	516				
GBJEOBOH_00015	CDS	516				hypothetical protein
GBJEOBOH_00016	gene	1131	argD			
GBJEOBOH_00016	CDS	1131	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
GBJEOBOH_00017	gene	1314	rkpK			
GBJEOBOH_00017	CDS	1314	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
GBJEOBOH_00018	gene	234				
GBJEOBOH_00018	CDS	234				hypothetical protein
GBJEOBOH_00019	gene	1119	mrdB_1			
GBJEOBOH_00019	CDS	1119	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
GBJEOBOH_00020	gene	210				
GBJEOBOH_00020	CDS	210				hypothetical protein
GBJEOBOH_00021	gene	483				
GBJEOBOH_00021	CDS	483				hypothetical protein
GBJEOBOH_00022	gene	1779				
GBJEOBOH_00022	CDS	1779				hypothetical protein
GBJEOBOH_00023	gene	480				
GBJEOBOH_00023	CDS	480				hypothetical protein
GBJEOBOH_00024	gene	1209	moeA			
GBJEOBOH_00024	CDS	1209	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
GBJEOBOH_00025	gene	1341	sdcS			
GBJEOBOH_00025	CDS	1341	sdcS			Sodium-dependent dicarboxylate transporter SdcS
GBJEOBOH_00026	gene	1443	rtcB			
GBJEOBOH_00026	CDS	1443	rtcB	6.5.1.-		RNA-splicing ligase RtcB
GBJEOBOH_00027	gene	1296				
GBJEOBOH_00027	CDS	1296				hypothetical protein
GBJEOBOH_00028	gene	507	nadD			
GBJEOBOH_00028	CDS	507	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
GBJEOBOH_00029	gene	528				
GBJEOBOH_00029	CDS	528				hypothetical protein
GBJEOBOH_00030	gene	867	glxR			
GBJEOBOH_00030	CDS	867	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
GBJEOBOH_00031	gene	579	hisB			
GBJEOBOH_00031	CDS	579	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
GBJEOBOH_00032	gene	1281				
GBJEOBOH_00032	CDS	1281				hypothetical protein
GBJEOBOH_00033	gene	312				
GBJEOBOH_00033	CDS	312				hypothetical protein
GBJEOBOH_00034	gene	723				
GBJEOBOH_00034	CDS	723				hypothetical protein
GBJEOBOH_00035	gene	1230	fbcH			
GBJEOBOH_00035	CDS	1230	fbcH		COG1290	Cytochrome b/c1
GBJEOBOH_00036	gene	546	petA			
GBJEOBOH_00036	CDS	546	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
GBJEOBOH_00037	gene	921	pyrD			
GBJEOBOH_00037	CDS	921	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
GBJEOBOH_00038	gene	300				
GBJEOBOH_00038	CDS	300		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
GBJEOBOH_00039	gene	2430	bamA_1			
GBJEOBOH_00039	CDS	2430	bamA_1			Outer membrane protein assembly factor BamA
GBJEOBOH_00040	gene	855	ubiA			
GBJEOBOH_00040	CDS	855	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
GBJEOBOH_00041	gene	1080	mraY			
GBJEOBOH_00041	CDS	1080	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
GBJEOBOH_00042	gene	576				
GBJEOBOH_00042	CDS	576			COG4752	putative protein
GBJEOBOH_00043	gene	759	ccsA_1			
GBJEOBOH_00043	CDS	759	ccsA_1			Cytochrome c biogenesis protein CcsA
GBJEOBOH_00044	gene	453	fabZ			
GBJEOBOH_00044	CDS	453	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
GBJEOBOH_00045	gene	627	sfsA			
GBJEOBOH_00045	CDS	627	sfsA		COG1489	Sugar fermentation stimulation protein A
GBJEOBOH_00046	gene	108				
GBJEOBOH_00046	CDS	108				hypothetical protein
GBJEOBOH_00047	gene	351				
GBJEOBOH_00047	CDS	351				hypothetical protein
GBJEOBOH_00048	gene	114				
GBJEOBOH_00048	CDS	114				hypothetical protein
GBJEOBOH_00049	gene	504				
GBJEOBOH_00049	CDS	504			COG1926	Putative phosphoribosyl transferase
GBJEOBOH_00050	gene	537	mog			
GBJEOBOH_00050	CDS	537	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
GBJEOBOH_00051	gene	843	speE_1			
GBJEOBOH_00051	CDS	843	speE_1	2.5.1.16	COG0421	Polyamine aminopropyltransferase
GBJEOBOH_00052	gene	342	rpsF			
GBJEOBOH_00052	CDS	342	rpsF		COG0360	30S ribosomal protein S6
GBJEOBOH_00053	gene	444				
GBJEOBOH_00053	CDS	444				Single-stranded DNA-binding protein
GBJEOBOH_00054	gene	219	rpsR2			
GBJEOBOH_00054	CDS	219	rpsR2		COG0238	30S ribosomal protein S18 2
GBJEOBOH_00055	gene	180	tatAy			
