locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOIKDGDG_00001	gene	282				
OOIKDGDG_00001	CDS	282				hypothetical protein
OOIKDGDG_00002	gene	306	GATC			
OOIKDGDG_00002	CDS	306	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
OOIKDGDG_00003	gene	1479	gatA			
OOIKDGDG_00003	CDS	1479	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
OOIKDGDG_00004	gene	1467	gatB			
OOIKDGDG_00004	CDS	1467	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
OOIKDGDG_00005	gene	2769	pmp1			
OOIKDGDG_00005	CDS	2769	pmp1			putative outer membrane protein pmp1
OOIKDGDG_00006	gene	2895				
OOIKDGDG_00006	CDS	2895				hypothetical protein
OOIKDGDG_00007	gene	804				
OOIKDGDG_00007	CDS	804				hypothetical protein
OOIKDGDG_00008	gene	1308				
OOIKDGDG_00008	CDS	1308				hypothetical protein
OOIKDGDG_00009	gene	894				
OOIKDGDG_00009	CDS	894				hypothetical protein
OOIKDGDG_00010	gene	1371				
OOIKDGDG_00010	CDS	1371				hypothetical protein
OOIKDGDG_00011	gene	726				
OOIKDGDG_00011	CDS	726				hypothetical protein
OOIKDGDG_00012	gene	1572				
OOIKDGDG_00012	CDS	1572				hypothetical protein
OOIKDGDG_00013	gene	2526	pmp2			
OOIKDGDG_00013	CDS	2526	pmp2			putative outer membrane protein pmp2
OOIKDGDG_00014	gene	534				
OOIKDGDG_00014	CDS	534				putative outer membrane protein pmp11
OOIKDGDG_00015	gene	2241				
OOIKDGDG_00015	CDS	2241				putative outer membrane protein pmp10
OOIKDGDG_00016	gene	1776				
OOIKDGDG_00016	CDS	1776				putative outer membrane protein pmp10
OOIKDGDG_00017	gene	945				
OOIKDGDG_00017	CDS	945				putative outer membrane protein pmp10
OOIKDGDG_00018	gene	189				
OOIKDGDG_00018	CDS	189				hypothetical protein
OOIKDGDG_00019	gene	1485	pmp8_1			
OOIKDGDG_00019	CDS	1485	pmp8_1			putative outer membrane protein pmp8
OOIKDGDG_00020	gene	1188				
OOIKDGDG_00020	CDS	1188				putative outer membrane protein pmp10
OOIKDGDG_00021	gene	2088				
OOIKDGDG_00021	CDS	2088				hypothetical protein
OOIKDGDG_00022	gene	1707				
OOIKDGDG_00022	CDS	1707				hypothetical protein
OOIKDGDG_00023	gene	591	maf			
OOIKDGDG_00023	CDS	591	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
OOIKDGDG_00024	gene	1605	ybiT			
OOIKDGDG_00024	CDS	1605	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
OOIKDGDG_00025	gene	939	xerC			
OOIKDGDG_00025	CDS	939	xerC		COG4973	Tyrosine recombinase XerC
OOIKDGDG_00026	gene	924	rbn_1			
OOIKDGDG_00026	CDS	924	rbn_1	3.1.-.-	COG1234	Ribonuclease BN
OOIKDGDG_00027	gene	867				
OOIKDGDG_00027	CDS	867				hypothetical protein
OOIKDGDG_00028	gene	2460	lon			
OOIKDGDG_00028	CDS	2460	lon	3.4.21.53	COG0466	Lon protease
OOIKDGDG_00029	gene	786				
OOIKDGDG_00029	CDS	786				hypothetical protein
OOIKDGDG_00030	gene	369				
OOIKDGDG_00030	CDS	369				hypothetical protein
OOIKDGDG_00031	gene	642				
OOIKDGDG_00031	CDS	642				hypothetical protein
OOIKDGDG_00032	gene	177				
OOIKDGDG_00032	CDS	177				hypothetical protein
OOIKDGDG_00033	gene	1179	dnaJ			
OOIKDGDG_00033	CDS	1179	dnaJ		COG0484	Chaperone protein DnaJ
OOIKDGDG_00034	gene	2037	dxs_1			
OOIKDGDG_00034	CDS	2037	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
OOIKDGDG_00035	gene	1251				
OOIKDGDG_00035	CDS	1251				hypothetical protein
OOIKDGDG_00036	gene	1464				
OOIKDGDG_00036	CDS	1464				hypothetical protein
OOIKDGDG_00037	gene	741				
OOIKDGDG_00037	CDS	741				hypothetical protein
OOIKDGDG_00038	gene	327				
OOIKDGDG_00038	CDS	327				hypothetical protein
OOIKDGDG_00039	gene	1716	ptsI			
OOIKDGDG_00039	CDS	1716	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
OOIKDGDG_00040	gene	291	ybaB			
OOIKDGDG_00040	CDS	291	ybaB			Nucleoid-associated protein YbaB
OOIKDGDG_00041	gene	1329	ruvB_1			
OOIKDGDG_00041	CDS	1329	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
OOIKDGDG_00042	gene	1350				
