locus_tag	ftype	length_bp	gene	EC_number	COG	product
NLDHCKDF_00001	gene	1179	dnaN			
NLDHCKDF_00001	CDS	1179	dnaN		COG0592	Beta sliding clamp
NLDHCKDF_00002	gene	1365	dnaA			
NLDHCKDF_00002	CDS	1365	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NLDHCKDF_00003	gene	696				
NLDHCKDF_00003	CDS	696				hypothetical protein
NLDHCKDF_00004	gene	1044	nudC_1			
NLDHCKDF_00004	CDS	1044	nudC_1	3.6.1.22		NADH pyrophosphatase
NLDHCKDF_00005	gene	729				
NLDHCKDF_00005	CDS	729				hypothetical protein
NLDHCKDF_00006	gene	684				
NLDHCKDF_00006	CDS	684				hypothetical protein
NLDHCKDF_00007	gene	804	cdaA			
NLDHCKDF_00007	CDS	804	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
NLDHCKDF_00008	gene	1041				
NLDHCKDF_00008	CDS	1041				hypothetical protein
NLDHCKDF_00009	gene	1359				
NLDHCKDF_00009	CDS	1359				hypothetical protein
NLDHCKDF_00010	gene	1185				
NLDHCKDF_00010	CDS	1185			COG3385	IS4 family transposase ISDra7
NLDHCKDF_00011	gene	882	qorB			
NLDHCKDF_00011	CDS	882	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
NLDHCKDF_00012	gene	867	spo0C			
NLDHCKDF_00012	CDS	867	spo0C		COG1475	Chromosome-partitioning protein Spo0J
NLDHCKDF_00013	gene	750	soj_1			
NLDHCKDF_00013	CDS	750	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
NLDHCKDF_00014	gene	762	rsmG			
NLDHCKDF_00014	CDS	762	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
NLDHCKDF_00015	gene	330				
NLDHCKDF_00015	CDS	330				hypothetical protein
NLDHCKDF_00016	gene	741	sir2			
NLDHCKDF_00016	CDS	741	sir2	2.3.1.286	COG0846	NAD-dependent protein deacylase Sir2
NLDHCKDF_00017	gene	411				
NLDHCKDF_00017	CDS	411				hypothetical protein
NLDHCKDF_00018	gene	603				
NLDHCKDF_00018	CDS	603				hypothetical protein
NLDHCKDF_00019	gene	882				
NLDHCKDF_00019	CDS	882				hypothetical protein
NLDHCKDF_00020	gene	1386	rnr_1			
NLDHCKDF_00020	CDS	1386	rnr_1	3.1.13.1		Ribonuclease R
NLDHCKDF_00021	gene	267				
NLDHCKDF_00021	CDS	267				hypothetical protein
NLDHCKDF_00022	gene	417				
NLDHCKDF_00022	CDS	417				hypothetical protein
NLDHCKDF_00023	gene	76				
NLDHCKDF_00023	tRNA	76				tRNA-Phe(gaa)
NLDHCKDF_00024	gene	76				
NLDHCKDF_00024	tRNA	76				tRNA-Asp(gtc)
NLDHCKDF_00025	gene	486	purE			
NLDHCKDF_00025	CDS	486	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
NLDHCKDF_00026	gene	1113	purK_1			
NLDHCKDF_00026	CDS	1113	purK_1	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
NLDHCKDF_00027	gene	1200				
NLDHCKDF_00027	CDS	1200				hypothetical protein
NLDHCKDF_00028	gene	810	COQ5_1			
NLDHCKDF_00028	CDS	810	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
NLDHCKDF_00029	gene	1803	mnmG_1			
