locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCKJJHDB_00001	gene	1368	dnaA			
LCKJJHDB_00001	CDS	1368	dnaA			Chromosomal replication initiator protein DnaA
LCKJJHDB_00002	gene	1143	dnaN			
LCKJJHDB_00002	CDS	1143	dnaN		COG0592	Beta sliding clamp
LCKJJHDB_00003	gene	3300	rexB			
LCKJJHDB_00003	CDS	3300	rexB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
LCKJJHDB_00004	gene	3612	addA			
LCKJJHDB_00004	CDS	3612	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
LCKJJHDB_00005	gene	201				
LCKJJHDB_00005	CDS	201				hypothetical protein
LCKJJHDB_00006	gene	558				
LCKJJHDB_00006	CDS	558				hypothetical protein
LCKJJHDB_00007	gene	1116	ychF			
LCKJJHDB_00007	CDS	1116	ychF		COG0012	Ribosome-binding ATPase YchF
LCKJJHDB_00008	gene	324	bcrR			
LCKJJHDB_00008	CDS	324	bcrR			HTH-type transcriptional activator BcrR
LCKJJHDB_00009	gene	345				
LCKJJHDB_00009	CDS	345				hypothetical protein
LCKJJHDB_00010	gene	1992				
LCKJJHDB_00010	CDS	1992				hypothetical protein
LCKJJHDB_00011	gene	636	macB_1			
LCKJJHDB_00011	CDS	636	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
LCKJJHDB_00012	gene	471				
LCKJJHDB_00012	CDS	471				hypothetical protein
LCKJJHDB_00013	gene	567	pth			
LCKJJHDB_00013	CDS	567	pth	3.1.1.29		Peptidyl-tRNA hydrolase
LCKJJHDB_00014	gene	3486	mfd			
LCKJJHDB_00014	CDS	3486	mfd	3.6.4.-		Transcription-repair-coupling factor
LCKJJHDB_00015	gene	471				
LCKJJHDB_00015	CDS	471				hypothetical protein
LCKJJHDB_00016	gene	318				
LCKJJHDB_00016	CDS	318				hypothetical protein
LCKJJHDB_00017	gene	375				
LCKJJHDB_00017	CDS	375				hypothetical protein
LCKJJHDB_00018	gene	324				
LCKJJHDB_00018	CDS	324				hypothetical protein
LCKJJHDB_00019	gene	1350				
LCKJJHDB_00019	CDS	1350				hypothetical protein
LCKJJHDB_00020	gene	1272	tilS			
LCKJJHDB_00020	CDS	1272	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
LCKJJHDB_00021	gene	552	hpt_1			
LCKJJHDB_00021	CDS	552	hpt_1	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
LCKJJHDB_00022	gene	2088	ftsH			
LCKJJHDB_00022	CDS	2088	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
LCKJJHDB_00023	gene	74				
LCKJJHDB_00023	tRNA	74				tRNA-Glu(ttc)
LCKJJHDB_00024	gene	90				
LCKJJHDB_00024	tRNA	90				tRNA-Ser(tga)
LCKJJHDB_00025	gene	76				
LCKJJHDB_00025	tRNA	76				tRNA-Met(cat)
LCKJJHDB_00026	gene	75				
LCKJJHDB_00026	tRNA	75				tRNA-Phe(gaa)
LCKJJHDB_00027	gene	73				
LCKJJHDB_00027	tRNA	73				tRNA-Gly(tcc)
LCKJJHDB_00028	gene	76				
LCKJJHDB_00028	tRNA	76				tRNA-Ile(gat)
LCKJJHDB_00029	gene	103				
LCKJJHDB_00029	rRNA	103				5S ribosomal RNA
LCKJJHDB_00030	gene	76				
LCKJJHDB_00030	tRNA	76				tRNA-Asn(gtt)
LCKJJHDB_00031	gene	504	mtlA			
LCKJJHDB_00031	CDS	504	mtlA			PTS system mannitol-specific EIICB component
LCKJJHDB_00032	gene	1302				
LCKJJHDB_00032	CDS	1302				hypothetical protein
LCKJJHDB_00033	gene	1938	mtlR			
LCKJJHDB_00033	CDS	1938	mtlR			Transcriptional regulator MtlR
LCKJJHDB_00034	gene	432	mtlF			
LCKJJHDB_00034	CDS	432	mtlF		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
LCKJJHDB_00035	gene	1158	mtlD			
LCKJJHDB_00035	CDS	1158	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
LCKJJHDB_00036	gene	324				
LCKJJHDB_00036	CDS	324				hypothetical protein
LCKJJHDB_00037	gene	411				
LCKJJHDB_00037	CDS	411				hypothetical protein
LCKJJHDB_00038	gene	444				
LCKJJHDB_00038	CDS	444				hypothetical protein
LCKJJHDB_00039	gene	582				
LCKJJHDB_00039	CDS	582				hypothetical protein
LCKJJHDB_00040	gene	1629				
LCKJJHDB_00040	CDS	1629				hypothetical protein
LCKJJHDB_00041	gene	795				
LCKJJHDB_00041	CDS	795				hypothetical protein
LCKJJHDB_00042	gene	330				
LCKJJHDB_00042	CDS	330				hypothetical protein
LCKJJHDB_00043	gene	195				
LCKJJHDB_00043	CDS	195				hypothetical protein
LCKJJHDB_00044	gene	240				
LCKJJHDB_00044	CDS	240				hypothetical protein
LCKJJHDB_00045	gene	282				
LCKJJHDB_00045	CDS	282				hypothetical protein
LCKJJHDB_00046	gene	252				
LCKJJHDB_00046	CDS	252				hypothetical protein
LCKJJHDB_00047	gene	522				
LCKJJHDB_00047	CDS	522				hypothetical protein
LCKJJHDB_00048	gene	195				
LCKJJHDB_00048	CDS	195				hypothetical protein
LCKJJHDB_00049	gene	741				
LCKJJHDB_00049	CDS	741				hypothetical protein
LCKJJHDB_00050	gene	198				
LCKJJHDB_00050	CDS	198				hypothetical protein
LCKJJHDB_00051	gene	387				
LCKJJHDB_00051	CDS	387				hypothetical protein
LCKJJHDB_00052	gene	555				
LCKJJHDB_00052	CDS	555				hypothetical protein
LCKJJHDB_00053	gene	231				
LCKJJHDB_00053	CDS	231				hypothetical protein
LCKJJHDB_00054	gene	195				
LCKJJHDB_00054	CDS	195				hypothetical protein
LCKJJHDB_00055	gene	243				
LCKJJHDB_00055	CDS	243				hypothetical protein
LCKJJHDB_00056	gene	213				
LCKJJHDB_00056	CDS	213				hypothetical protein
LCKJJHDB_00057	gene	147				
LCKJJHDB_00057	CDS	147				hypothetical protein
LCKJJHDB_00058	gene	165				
LCKJJHDB_00058	CDS	165				hypothetical protein
LCKJJHDB_00059	gene	306				
LCKJJHDB_00059	CDS	306				hypothetical protein
LCKJJHDB_00060	gene	1185	xerC_1			
LCKJJHDB_00060	CDS	1185	xerC_1			Tyrosine recombinase XerC
LCKJJHDB_00061	gene	450	yafP			
LCKJJHDB_00061	CDS	450	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
LCKJJHDB_00062	gene	243				
LCKJJHDB_00062	CDS	243				hypothetical protein
LCKJJHDB_00063	gene	1383	dauA_1			
LCKJJHDB_00063	CDS	1383	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
LCKJJHDB_00064	gene	372				
LCKJJHDB_00064	CDS	372				hypothetical protein
LCKJJHDB_00065	gene	684				
LCKJJHDB_00065	CDS	684				IS3 family transposase ISLla3
LCKJJHDB_00066	gene	840				
LCKJJHDB_00066	CDS	840				IS3 family transposase IS1069
LCKJJHDB_00067	gene	291				
LCKJJHDB_00067	CDS	291				IS3 family transposase IS1076
LCKJJHDB_00068	gene	264	dauA_2			
LCKJJHDB_00068	CDS	264	dauA_2		COG0659	C4-dicarboxylic acid transporter DauA
LCKJJHDB_00069	gene	522				
LCKJJHDB_00069	CDS	522				hypothetical protein
LCKJJHDB_00070	gene	75				
LCKJJHDB_00070	tRNA	75				tRNA-Lys(ctt)
LCKJJHDB_00071	gene	1176	dapX			
LCKJJHDB_00071	CDS	1176	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
LCKJJHDB_00072	gene	756	recO			
LCKJJHDB_00072	CDS	756	recO		COG1381	DNA repair protein RecO
LCKJJHDB_00073	gene	174				
LCKJJHDB_00073	CDS	174				hypothetical protein
LCKJJHDB_00074	gene	1419	pdhD			
LCKJJHDB_00074	CDS	1419	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
LCKJJHDB_00075	gene	1599				
LCKJJHDB_00075	CDS	1599				hypothetical protein
LCKJJHDB_00076	gene	981	pdhB			
LCKJJHDB_00076	CDS	981	pdhB	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
LCKJJHDB_00077	gene	1125	pdhA			
