locus_tag	ftype	length_bp	gene	EC_number	COG	product
	repeat_region	2694				
PCMIPHHC_00001	gene	1953				
PCMIPHHC_00001	CDS	1953				hypothetical protein
PCMIPHHC_00002	gene	1038				
PCMIPHHC_00002	CDS	1038		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
PCMIPHHC_00003	gene	1317				
PCMIPHHC_00003	CDS	1317				hypothetical protein
PCMIPHHC_00004	gene	675	kynB			
PCMIPHHC_00004	CDS	675	kynB	3.5.1.9	COG1878	Kynurenine formamidase
PCMIPHHC_00005	gene	429				
PCMIPHHC_00005	CDS	429				hypothetical protein
PCMIPHHC_00006	gene	1824	hndC			
PCMIPHHC_00006	CDS	1824	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
PCMIPHHC_00007	gene	381	hndB			
PCMIPHHC_00007	CDS	381	hndB	1.12.1.3	COG3411	NADP-reducing hydrogenase subunit HndB
PCMIPHHC_00008	gene	489	hndA_1			
PCMIPHHC_00008	CDS	489	hndA_1	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
PCMIPHHC_00009	gene	762				
PCMIPHHC_00009	CDS	762				hypothetical protein
PCMIPHHC_00010	gene	837				
PCMIPHHC_00010	CDS	837				hypothetical protein
PCMIPHHC_00011	gene	579	porC			
PCMIPHHC_00011	CDS	579	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
PCMIPHHC_00012	gene	300	porD			
PCMIPHHC_00012	CDS	300	porD		COG1144	Pyruvate synthase subunit PorD
PCMIPHHC_00013	gene	1179	porA			
PCMIPHHC_00013	CDS	1179	porA	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
PCMIPHHC_00014	gene	975	porB			
PCMIPHHC_00014	CDS	975	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
PCMIPHHC_00015	gene	771	bacC_1			
PCMIPHHC_00015	CDS	771	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
PCMIPHHC_00016	gene	384	crcB			
PCMIPHHC_00016	CDS	384	crcB			Putative fluoride ion transporter CrcB
PCMIPHHC_00017	gene	309				
PCMIPHHC_00017	CDS	309				hypothetical protein
PCMIPHHC_00018	gene	1533	mutL			
PCMIPHHC_00018	CDS	1533	mutL			DNA mismatch repair protein MutL
PCMIPHHC_00019	gene	1971	mcp1_1			
PCMIPHHC_00019	CDS	1971	mcp1_1		COG0840	Methyl-accepting chemotaxis protein 1
PCMIPHHC_00020	gene	1926				
PCMIPHHC_00020	CDS	1926				hypothetical protein
PCMIPHHC_00021	gene	2166	bglB			
PCMIPHHC_00021	CDS	2166	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
PCMIPHHC_00022	gene	207				
PCMIPHHC_00022	CDS	207				hypothetical protein
PCMIPHHC_00023	gene	807	oppF_1			
PCMIPHHC_00023	CDS	807	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
PCMIPHHC_00024	gene	993	oppD_1			
PCMIPHHC_00024	CDS	993	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
PCMIPHHC_00025	gene	843	oppC_1			
PCMIPHHC_00025	CDS	843	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
PCMIPHHC_00026	gene	1017	gsiC_1			
PCMIPHHC_00026	CDS	1017	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
PCMIPHHC_00027	gene	1815	oppA			
PCMIPHHC_00027	CDS	1815	oppA		COG4166	Periplasmic oligopeptide-binding protein
PCMIPHHC_00028	gene	1146	nagC_1			
PCMIPHHC_00028	CDS	1146	nagC_1		COG1940	N-acetylglucosamine repressor
PCMIPHHC_00029	gene	1188				
PCMIPHHC_00029	CDS	1188				hypothetical protein
PCMIPHHC_00030	gene	1074	rsxB_1			
PCMIPHHC_00030	CDS	1074	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PCMIPHHC_00031	gene	1341				
PCMIPHHC_00031	CDS	1341				hypothetical protein
PCMIPHHC_00032	gene	525				
PCMIPHHC_00032	CDS	525		3.6.1.15	COG1618	Nucleoside-triphosphatase THEP1
PCMIPHHC_00033	gene	1251				
PCMIPHHC_00033	CDS	1251		3.1.4.-	COG2206	3'3'-cGAMP-specific phosphodiesterase 1
PCMIPHHC_00034	gene	363	queD			
PCMIPHHC_00034	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PCMIPHHC_00035	gene	780	folE2			
PCMIPHHC_00035	CDS	780	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
PCMIPHHC_00036	gene	837	folP			
PCMIPHHC_00036	CDS	837	folP	2.5.1.15	COG0294	Dihydropteroate synthase
PCMIPHHC_00037	gene	390	sulD			
PCMIPHHC_00037	CDS	390	sulD		COG0801	Bifunctional folate synthesis protein
PCMIPHHC_00038	gene	1080	ypdF			
PCMIPHHC_00038	CDS	1080	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
PCMIPHHC_00039	gene	1740				
PCMIPHHC_00039	CDS	1740			COG1132	putative ABC transporter ATP-binding protein
PCMIPHHC_00040	gene	549				
PCMIPHHC_00040	CDS	549				hypothetical protein
PCMIPHHC_00041	gene	219				
PCMIPHHC_00041	CDS	219				hypothetical protein
PCMIPHHC_00042	gene	1218				
PCMIPHHC_00042	CDS	1218				hypothetical protein
PCMIPHHC_00043	gene	705	ndhI_1			
PCMIPHHC_00043	CDS	705	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
PCMIPHHC_00044	gene	465				
PCMIPHHC_00044	CDS	465				hypothetical protein
PCMIPHHC_00045	gene	2010	feoB			
PCMIPHHC_00045	CDS	2010	feoB		COG0370	Fe(2+) transporter FeoB
PCMIPHHC_00046	gene	333				
PCMIPHHC_00046	CDS	333				hypothetical protein
PCMIPHHC_00047	gene	1095				
PCMIPHHC_00047	CDS	1095				hypothetical protein
PCMIPHHC_00048	gene	591				
PCMIPHHC_00048	CDS	591				hypothetical protein
PCMIPHHC_00049	gene	2025	aguA			
PCMIPHHC_00049	CDS	2025	aguA	3.2.1.131	COG3661	Xylan alpha-(1->2)-glucuronosidase
PCMIPHHC_00050	gene	1974	agpA_1			
PCMIPHHC_00050	CDS	1974	agpA_1			Periplasmic alpha-galactoside-binding protein
PCMIPHHC_00051	gene	1017	btuD_1			
PCMIPHHC_00051	CDS	1017	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCMIPHHC_00052	gene	996	oppD_2			
PCMIPHHC_00052	CDS	996	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
PCMIPHHC_00053	gene	1089				
PCMIPHHC_00053	CDS	1089				hypothetical protein
PCMIPHHC_00054	gene	987	gsiC_2			
PCMIPHHC_00054	CDS	987	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
PCMIPHHC_00055	gene	3180	xynA			
PCMIPHHC_00055	CDS	3180	xynA	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
PCMIPHHC_00056	gene	540				
PCMIPHHC_00056	CDS	540				hypothetical protein
PCMIPHHC_00057	gene	447				
PCMIPHHC_00057	CDS	447				hypothetical protein
PCMIPHHC_00058	gene	1356	uxaC			
PCMIPHHC_00058	CDS	1356	uxaC	5.3.1.12	COG1904	Uronate isomerase
PCMIPHHC_00059	gene	741	xynR			
PCMIPHHC_00059	CDS	741	xynR		COG1414	HTH-type transcriptional regulator XynR
PCMIPHHC_00060	gene	612	kdgA			
PCMIPHHC_00060	CDS	612	kdgA		COG0800	KHG/KDPG aldolase
PCMIPHHC_00061	gene	1020	kdgK			
PCMIPHHC_00061	CDS	1020	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
PCMIPHHC_00062	gene	1620	por			
PCMIPHHC_00062	CDS	1620	por	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
PCMIPHHC_00063	gene	1083	uxuA			
PCMIPHHC_00063	CDS	1083	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
PCMIPHHC_00064	gene	1044	xynZ			
PCMIPHHC_00064	CDS	1044	xynZ	3.2.1.8	COG2382	Endo-1,4-beta-xylanase Z
PCMIPHHC_00065	gene	1878				
PCMIPHHC_00065	CDS	1878				hypothetical protein
PCMIPHHC_00066	gene	1008	oppB_1			
PCMIPHHC_00066	CDS	1008	oppB_1		COG0601	Oligopeptide transport system permease protein OppB
PCMIPHHC_00067	gene	855				
PCMIPHHC_00067	CDS	855			COG1173	Putative peptide transport permease protein
